Project,Compile Time,Compile Time: StartUp,Compile Time: Parser,Compile Time: Calculator,Lines of Code,Lines of Code per Minute,Memory Usage
3303-FileTransferSystem,2534800,0,2354000,180700,1921,4.5471044E7,1,
IssacTest,818800,100,576899,241701,33,2418173.0,1,
Parser-Testing,1702001,200,1465701,236000,170,5992946.0,1,
Rx,1219261700,200,1217580800,1680499,468943,2.3076736E7,1,
3110_LabExam,940300,100,708400,231700,299,1.9079018E7,1,
Twitter,201800,100,103299,98301,0,0.0,1,
1ProblemADay,30457999,200,3429900,27027799,380,748571.8,1,
Assignment3_SYSC4810,1051500,100,886200,165099,1674,9.5520688E7,1,
SSMC,10906401,100,10744401,161800,10661,5.8649964E7,1,
Test_Project,743300,100,536600,206500,31,2502354.2,1,
TicTacToe,3107800,200,2949499,157901,446,8610593.0,1,
lab2,4199801,200,3880101,319200,129,1842944.5,1,
Example Project,1885600,0,1727400,158100,86,2736529.5,1,
Software-Security-Metrics-Calculator-Test-Project,2100800,100,1819300,281000,996,2.8446306E7,1,
Test Project,2122899,100,1955799,166401,996,2.8150186E7,1,
3110_Lab8,1043301,100,868401,174700,828,4.7618088E7,1,
3110_Lab9,648201,100,512600,135401,298,2.7584036E7,1,
StatementTest,732399,100,598300,133899,363,2.9737888E7,1,
3110_Lab4,1241799,100,1110500,131099,213,1.0291521E7,1,
ReactiveX,1653343499,499,1651702800,1640000,468943,1.7017988E7,1,
3110_Lab5,1210000,100,1084000,125800,441,2.1867768E7,1,
3110_Lab6,897800,100,733400,164200,434,2.9004234E7,1,
Camp Management System,806200,200,643200,162700,4,297692.88,1,
Totals: ,2941958700,958289,,,Average Lines/Minute: 1.9543898E7
