Quality Attribute, Design Principle,Primary Metric,Secondary Metric, Teriary Metric, Project Level Value,Attribute_TestsTest,Attribute,SecondaryMetrics,MethodVisitorTest,MethodTest,ButtonHandler,generateCSV,DesignPrincipals,AttributeMetricsTest,MethodVisitor,PrimaryMetrics,AttributeTest,MainTest,ClassTest,JDTree,TestJDTree,StatementVisitor,Activator,GenerateStyles,Calculator,MurgePulledValues,PerformanceTest,StatementTest,calculateValues,DeclarationVisitor,TertiaryMetrics,DeclarationVisitorTest,ComplexityMetricsTest,MetricClasses,AttributeVisitorTest,QualityAttributes,test,Statement,ClassMetrics,ClassMetricsTest,Method,CAMValues,MethodMetricsTest,PulledValues,GenerateHTML,TertiaryMetricTest,TestHandler,NodeType,StatementVisitorTest,AttributeVisitor,Class,CommentVisitor,ASTUtility,

Effectiveness,,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.404166666666668,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
,Abstraction,,,,,7.020833333333333,21.020833333333332,18.020833333333332,8.020833333333332,38.020833333333336,5.520833333333333,90.02083333333333,25.020833333333332,15.020833333333332,6.020833333333333,84.02083333333333,20.020833333333332,4.020833333333333,22.020833333333332,9.354166666666666,6.020833333333333,23.020833333333332,8.020833333333332,1.0208333333333333,9.020833333333334,73.09100877192982,11.020833333333332,12.020833333333332,7.020833333333333,5.020833333333333,51.020833333333336,8.020833333333332,11.020833333333332,3.020833333333333,10.020833333333332,22.020833333333332,1.0208333333333333,25.020833333333332,5.020833333333333,11.020833333333332,50.020833333333336,29.520833333333332,16.020833333333332,90.02083333333333,38.020833333333336,7.020833333333333,2.020833333333333,1.0208333333333333,20.020833333333332,6.020833333333333,33.020833333333336,4.020833333333333,16.020833333333332,
,,Average Number of Ancestors (ANA),,,,2.0,20.0,17.0,3.0,33.0,3.0,87.0,22.0,7.0,5.0,83.0,15.0,3.0,21.0,7.0,5.0,22.0,3.0,0.0,8.0,72.0,4.0,7.0,4.0,4.0,48.0,3.0,2.0,2.0,5.0,19.0,0.0,22.0,2.0,2.0,49.0,24.0,7.0,87.0,37.0,2.0,1.0,0.0,15.0,5.0,32.0,3.0,13.0,
,,Fail Safe Defaults (FSD),,,,2.0,0.0,0.0,2.0,2.0,0.75,1.0,1.0,3.5,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.03508771929824561,3.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,2.25,4.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,
,,,Readability of Classified Attributes (RCA),,,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.03508771929824561,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,Classified Instance Data Accessbility (CIDA),,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,Classified Class Data Accessibility (CCDA),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,Classified Attributes Inheritance (CAI),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,Reduce Attack Surface (RAS),,,,3.020833333333333,1.0208333333333333,1.0208333333333333,3.020833333333333,3.020833333333333,1.7708333333333333,2.020833333333333,2.020833333333333,4.520833333333333,1.0208333333333333,1.0208333333333333,3.020833333333333,1.0208333333333333,1.0208333333333333,1.6875,1.0208333333333333,1.0208333333333333,3.020833333333333,1.0208333333333333,1.0208333333333333,1.0559210526315788,4.020833333333333,3.020833333333333,2.020833333333333,1.0208333333333333,2.020833333333333,3.020833333333333,5.020833333333333,1.0208333333333333,3.020833333333333,2.020833333333333,1.0208333333333333,2.020833333333333,2.020833333333333,5.020833333333333,1.0208333333333333,3.270833333333333,5.020833333333333,2.020833333333333,1.0208333333333333,3.020833333333333,1.0208333333333333,1.0208333333333333,3.020833333333333,1.0208333333333333,1.0208333333333333,1.0208333333333333,2.020833333333333,
